id,url,version_oficial,cilindrada_cc,cilindrada,power_hp,torque_nm,carroceria,categoria,traccion_spec,transmision_spec,tipo_caja,combustible_spec,puertas,asientos,cilindros,autonomia_km,peso_kg
CP-AD-8540105,https://www.chileautos.cl/vehiculos/detalles/2022-ford-ranger-3-2-xlt-4x2-diesel-dob-cab-mt-4p/CP-AD-8540105,3.2 XLT 4X2 DIESEL DOB. CAB. MT 4P,3198.0,3.2,200.0,470.0,"Pick-up, 4 puertas, 5 asientos",Pick-up,4X2,Manual,Mecánico,Diesel,4.0,5.0,5.0,880.0,3200.0
CP-AD-8540540,https://www.chileautos.cl/vehiculos/detalles/2021-chevrolet-silverado-5-3-lt-trailboss-z71-4x4-at-4p/CP-AD-8540540,5.3 LT TRAILBOSS Z71 4X4 AT 4P,5300.0,5.3,355.0,518.0,"Pick-up, 4 puertas, 5 asientos",Pick-up,4X4,Automática,Automática,Bencina,4.0,5.0,8.0,691.0,2300.0
CL-AD-13646416,https://www.chileautos.cl/vehiculos/detalles/2019-ford-explorer/CL-AD-13646416,,,,,,,,,,,,,,,,
CP-AD-8486188,https://www.chileautos.cl/vehiculos/detalles/2026-chevrolet-silverado-3-0-high-country-4x4-at-4p/CP-AD-8486188,3.0 HIGH COUNTRY 4X4 AT 4P,3000.0,3.0,305.0,671.0,"Pick-up, 4 puertas, 5 asientos",Pick-up,4X4,Automática,Automática,Diesel,4.0,5.0,6.0,1064.0,3266.0
CP-AD-8501241,https://www.chileautos.cl/vehiculos/detalles/2022-peugeot-3008-1-5-gt-bluehdi-4x2-130-eat8-5p/CP-AD-8501241,1.5 GT BLUEHDI 4X2 130 EAT8 5P,1499.0,1.5,130.0,300.0,"SUV, 5 puertas, 5 asientos",SUV,4X2,Automática,Automática,Diesel,5.0,5.0,4.0,1362.0,1429.0
CP-AD-8533949,https://www.chileautos.cl/vehiculos/detalles/2021-mitsubishi-l200-dakar-hp-dcab-4x4-2-4-aut/CP-AD-8533949,,,,,,,,,,,,,,,,
CL-AD-20087328,https://www.chileautos.cl/vehiculos/detalles/2024-chevrolet-silverado-6-2-zr2-4x4-at-4p/CL-AD-20087328,6.2 ZR2 4X4 AT 4P,6200.0,6.2,420.0,624.0,"Pick-up, 4 puertas, 5 asientos",Pick-up,4X4,Automática,Automática,Bencina,4.0,5.0,8.0,618.0,3221.0
CL-AD-20091949,https://www.chileautos.cl/vehiculos/detalles/2018-peugeot-3008-allure-blue-hdi-1-6-aut/CL-AD-20091949,,,,,,,,,,,,,,,,
CL-AD-20223777,https://www.chileautos.cl/vehiculos/detalles/2014-ford-explorer/CL-AD-20223777,,,,,,,,,,,,,,,,
GI-AD-863827,https://www.chileautos.cl/vehiculos/detalles/chevrolet-tracker-2023-1-2t-lt/GI-AD-863827,,,,,,,,,,,,,,,,
